datetime,market_price_usd,total_supply,market_cap_usd,realised_cap_usd,nupl,coin_days_destroyed,active_addresses,fear_greed_value,fear_greed_category,lightning_nodes,lightning_capacity_usd
2021-11-09,67087.0,18868677,1265842953687.7168,448161283591.4523,0.6459582270566452,12171427.976826044,1195964.0,84.0,Extreme Greed,17832.0,216470149.7
2021-11-10,65061.0,18869608,1227675601544.3557,449181647474.6335,0.6341202456825036,23032413.723801296,1039081.0,75.0,Greed,17832.0,214605661.2
2021-11-11,64947.0,18870596,1225588601332.729,450287123171.1524,0.6325952096147913,10691245.218754975,1049695.0,77.0,Extreme Greed,17977.0,209205617.7
2021-11-12,64425.0,18871483,1215795327384.7542,456399087326.68536,0.6246086186986538,36920934.61220859,960969.0,74.0,Greed,17977.0,206355562.4
2021-11-13,64661.0,18872439,1220310829582.6172,456844502480.79034,0.6256326737368669,7802063.663962949,845061.0,72.0,Greed,17977.0,206319279.4
2021-11-14,65858.0,18873421,1242965763179.6975,457269445155.57495,0.6321142072442854,4428420.254533719,820224.0,74.0,Greed,17977.0,207879239.7
2021-11-15,63934.0,18874364,1206713638801.6733,458236553581.0459,0.6202607322511929,10273240.423726536,1078080.0,72.0,Greed,17977.0,212030056.3
2021-11-16,60449.0,18875302,1140993148428.6995,459021494010.18585,0.5977000434732497,22318814.50707174,1037312.0,71.0,Greed,17977.0,195973163.0
2021-11-17,60613.0,18876233,1144145143861.3247,459714714977.11743,0.5982024505862547,17076973.040815964,1006223.0,52.0,Neutral,17977.0,195335458.1
2021-11-18,57262.0,18877133,1080942421052.1271,458762436801.0675,0.5755903109487233,6994532.933258224,992178.0,54.0,Neutral,18092.0,193040942.1
2021-11-19,58942.0,18877989,1112706474495.1782,459096820505.1555,0.5874052762086764,7382594.011358464,974692.0,34.0,Fear,18092.0,187171375.1
2021-11-20,59950.0,18878896,1131789817896.009,459609083332.78564,0.5939095085806688,6296618.270354152,867447.0,43.0,Fear,18092.0,191441694.6
2021-11-21,59148.0,18879721,1116697740367.9424,459750625726.0862,0.5882944783477378,4970919.700557523,861537.0,49.0,Neutral,18092.0,193696930.5
2021-11-22,56348.0,18880602,1063884178117.0237,459189075216.93463,0.568384336695695,10247797.224608188,931792.0,50.0,Neutral,18092.0,188203872.6
2021-11-23,57749.0,18881427,1090383544857.278,459603356745.14996,0.5784938621709408,10225509.53737167,921004.0,33.0,Fear,18092.0,187030682.4
2021-11-24,57347.0,18882408,1082849482828.4496,459894519398.2893,0.575292294366688,7465143.133178736,1092845.0,42.0,Fear,18092.0,185475305.9
2021-11-25,58844.0,18883221,1111164259170.2712,463478156994.3795,0.5828896104519524,41200427.40400924,986642.0,32.0,Fear,18717.0,190586107.6
2021-11-26,53865.0,18884046,1017189140212.3607,462280298799.104,0.545531621874578,11254310.348762523,1015246.0,47.0,Neutral,18717.0,179354751.3
2021-11-27,54724.0,18884939,1033459445339.9907,462271947616.9248,0.5526946415736274,2877604.5122376494,802097.0,21.0,Extreme Fear,18717.0,180089170.8
2021-11-28,57349.0,18885808,1083082234245.5396,462839581525.7917,0.572664413752295,6168721.147790459,817993.0,27.0,Fear,18717.0,179294945.6
2021-11-29,57849.0,18886702,1092576841061.775,463609418264.6276,0.5756733981162476,9529173.839698143,993337.0,33.0,Fear,18717.0,189591353.1
2021-11-30,57003.0,18887539,1076646430932.7296,463930467836.05756,0.5690967298947518,9404798.51051665,970183.0,40.0,Fear,18717.0,189597883.9
2021-12-01,57162.0,18888396,1079698494722.63,464746773579.96985,0.5695587463985848,12970357.8013132,1066896.0,34.0,Fear,18717.0,189440074.3
2021-12-02,56565.0,18889364,1068476919627.5323,464755712215.51337,0.5650297131569996,7041679.515163618,1188323.0,32.0,Fear,18810.0,186948294.8
2021-12-03,53445.0,18890414,1009598218717.2229,464146047158.5544,0.540266574808056,8280846.573387897,1018511.0,31.0,Fear,18810.0,186151366.7
2021-12-04,49162.0,18891383,928738197837.8623,462356622862.75995,0.5021668927377557,8370413.182996483,973332.0,25.0,Extreme Fear,18810.0,158904632.1
2021-12-05,49370.0,18892421,932718826990.2163,462228793436.0629,0.5044285801245959,6220983.341337837,974419.0,18.0,Extreme Fear,18810.0,161756191.0
2021-12-06,50645.0,18893496,956861107197.5542,461903382959.9653,0.5172722775693293,10435452.658907205,1068510.0,16.0,Extreme Fear,18810.0,160651856.7
2021-12-07,50648.0,18894458,956966536385.6892,463047689335.7504,0.5161296955224703,20754717.09571489,1009283.0,25.0,Extreme Fear,18810.0,167760814.4
2021-12-08,50799.0,18895508,959872938575.9797,462982736187.97577,0.5176624763743896,7288885.188391539,920483.0,28.0,Fear,18810.0,166448497.8
2021-12-09,47874.0,18896527,904652347719.4397,462072246728.68805,0.48922672019418584,14255182.754665509,1118585.0,29.0,Fear,18957.0,162274581.9
2021-12-10,47304.0,18897502,893927448561.3063,461723023564.80035,0.4834893767856654,7718024.325336367,942604.0,24.0,Extreme Fear,18957.0,159621989.9
2021-12-11,49252.0,18898446,930786264606.9097,462199455084.8511,0.5034311606649594,6801900.736071059,818663.0,16.0,Extreme Fear,18957.0,160366379.7
2021-12-12,50142.0,18899321,947649755836.9338,462327144352.0355,0.5121328935037576,2642113.729251336,747889.0,27.0,Fear,18957.0,163462116.0
2021-12-13,46631.0,18900202,881335333216.7908,461717768845.27374,0.4761156719315366,9631282.921878563,978610.0,28.0,Fear,18957.0,160674889.4
2021-12-14,48306.0,18901127,913037855110.8672,462321475957.686,0.4936447888006267,20093592.205176685,970932.0,21.0,Extreme Fear,18957.0,155292194.5
2021-12-15,49049.0,18902008,927124617122.2806,462543549990.11224,0.5010988367175389,8179244.671506231,1059017.0,28.0,Fear,18957.0,158957838.9
2021-12-16,47719.0,18902727,902019243788.7192,462425471951.07544,0.48734411695168917,10812165.845664095,883914.0,29.0,Fear,19093.0,160849350.6
2021-12-17,46079.0,18903658,871061682093.7168,461913113922.6208,0.46971250897829764,6186751.705100858,993181.0,23.0,Extreme Fear,19093.0,155204511.3
2021-12-18,46904.0,18904458,886694723593.3179,461993726097.26495,0.47897093125236845,5380645.004815916,877278.0,24.0,Extreme Fear,19093.0,154084296.0
2021-12-19,46883.0,18905389,886341389757.6235,462033042421.7573,0.4787188686425852,3214106.460372104,741075.0,29.0,Fear,19093.0,155634873.7
2021-12-20,47123.0,18906289,890921094008.4165,461893970527.54254,0.48155456904786337,7154592.855139543,1015320.0,25.0,Extreme Fear,19093.0,153482839.8
2021-12-21,49051.0,18907296,927421778301.8705,462364910550.2702,0.5014513122639082,6426084.517381708,1020149.0,27.0,Fear,19093.0,161042412.8
2021-12-22,48745.0,18908221,921681234837.1094,462477996048.0662,0.4982234870716437,9366556.122558884,1007073.0,45.0,Fear,19093.0,162375664.0
2021-12-23,50901.0,18909171,962495715360.0668,463328555297.3354,0.5186175398983407,10668347.662296256,991258.0,34.0,Fear,19166.0,161490136.3
2021-12-24,51051.0,18910114,965380270398.0625,463639407510.6478,0.519733910327925,3678611.281883662,987514.0,41.0,Fear,19166.0,169878962.8
2021-12-25,50493.0,18911033,954874816786.2186,463551582652.2458,0.5145420378637678,5702662.100214269,878650.0,39.0,Fear,19166.0,169175746.3
2021-12-26,50960.0,18911871,963748948451.7201,463785007157.32886,0.5187698955185293,6611463.588523694,771509.0,37.0,Fear,19166.0,166690125.1
2021-12-27,50686.0,18912796,958613980335.3981,463964292216.4111,0.5160050847014769,5685233.259951878,1001923.0,40.0,Fear,19166.0,168634788.9
2021-12-28,47725.0,18913633,902653160933.739,463431525518.2509,0.4865895943477785,6050358.1851724,1052127.0,41.0,Fear,19166.0,162175875.2
2021-12-29,46876.0,18914539,886637967429.0587,463015734145.3376,0.47778490076629365,9051233.312461078,1147265.0,27.0,Fear,19166.0,157870316.9
2021-12-30,47394.0,18915283,896470948330.3536,463176971751.0253,0.48333298182871787,16029072.409274364,983172.0,22.0,Extreme Fear,19173.0,155635161.3
2021-12-31,46288.0,18916214,875593750429.6157,463130627878.9432,0.4710667730877417,19113049.4637752,1115524.0,28.0,Fear,19173.0,156175867.3
2022-01-01,47649.0,18917289,901389941440.5713,463336180625.50824,0.4859758697939098,5818956.200284029,703687.0,21.0,Extreme Fear,19173.0,156260790.9
2022-01-02,47315.0,18918277,895118290211.5509,463341695099.4111,0.4823681962862075,2010577.3813600405,747901.0,29.0,Fear,19173.0,156747482.7
2022-01-03,46531.0,18919152,880327075437.2937,463204364359.5207,0.4738269703570931,7396845.672181913,937567.0,29.0,Fear,19173.0,155887318.4
2022-01-04,45873.0,18920071,867920419045.9529,462789701302.58563,0.4667832543779768,7335347.755082271,981322.0,23.0,Extreme Fear,19173.0,153548875.8
2022-01-05,43647.0,18921008,825845259962.3474,462203276646.4847,0.4403270212296698,8856607.036466213,1010589.0,24.0,Extreme Fear,19173.0,153468070.8
2022-01-06,43201.0,18921921,817445911063.7904,461748428638.9052,0.4351327440882237,12710092.310420403,960120.0,15.0,Extreme Fear,19196.0,143068232.9
2022-01-07,41647.0,18922796,788077686884.9055,460890734994.40485,0.4151709372508659,7449112.174353797,969222.0,18.0,Extreme Fear,19196.0,139086538.9
2022-01-08,41642.0,18923696,788020550704.6807,460718364791.54736,0.41534727187057,3340160.234934432,822664.0,10.0,Extreme Fear,19196.0,138868816.0
2022-01-09,41991.0,18924577,794661925193.1256,460663621153.51636,0.42030238702884637,3613345.3587722233,763229.0,23.0,Extreme Fear,19196.0,139371130.5
