"DateTime","BTC price","Google Trends"
"2011-07-06 00:00:00",14.7147835833,31
"2011-07-07 00:00:00",14.7972891613,48
"2011-07-08 00:00:00",14.299037697,32
"2011-07-09 00:00:00",14.3815006698,33
"2011-07-10 00:00:00",14.6229375511,32
"2011-07-11 00:00:00",14.3101554331,29
"2011-07-12 00:00:00",14.0212726216,26
"2011-07-13 00:00:00",13.9714545225,29
"2011-07-14 00:00:00",13.9979745476,38
"2011-07-15 00:00:00",13.8063904056,29
"2011-07-16 00:00:00",13.7130792992,29
"2011-07-17 00:00:00",13.2581353109,28
"2011-07-18 00:00:00",13.6305212504,29
"2011-07-19 00:00:00",13.8247948387,32
"2011-07-20 00:00:00",13.6783305921,32
"2011-07-21 00:00:00",13.6118084418,26
"2011-07-22 00:00:00",13.6985473311,22
"2011-07-23 00:00:00",13.6817183425,24
"2011-07-24 00:00:00",13.9925151765,22
"2011-07-25 00:00:00",14.0334253787,27
"2011-07-26 00:00:00",13.8780323232,27
"2011-07-27 00:00:00",13.8782247551,25
"2011-07-28 00:00:00",13.4915910757,24
"2011-07-29 00:00:00",13.5123163901,25
"2011-07-30 00:00:00",13.5402806739,27
"2011-07-31 00:00:00",13.3729061023,27
"2011-08-01 00:00:00",13.0191138469,25
"2011-08-02 00:00:00",12.2141564389,25
"2011-08-03 00:00:00",9.2863569135,29
"2011-08-04 00:00:00",10.7685037481,29
"2011-08-05 00:00:00",9.7301539597,30
"2011-08-06 00:00:00",6.9641697358,31
"2011-08-07 00:00:00",8.5017932922,38
"2011-08-08 00:00:00",7.7753376379,30
"2011-08-09 00:00:00",9.802499481,26
"2011-08-10 00:00:00",10.0512531274,23
"2011-08-11 00:00:00",9.4384129947,21
"2011-08-12 00:00:00",9.4529932852,22
"2011-08-13 00:00:00",10.0040247446,21
"2011-08-14 00:00:00",10.8068207665,23
"2011-08-15 00:00:00",11.13069655,23
"2011-08-16 00:00:00",10.9919655669,24
"2011-08-17 00:00:00",10.9639640561,27
"2011-08-18 00:00:00",10.8584714559,26
"2011-08-19 00:00:00",11.6704730432,23
"2011-08-20 00:00:00",11.4597317393,23
"2011-08-21 00:00:00",11.3544813407,29
"2011-08-22 00:00:00",10.9208958247,25
"2011-08-23 00:00:00",10.9172450544,22
"2011-08-24 00:00:00",10.8704442899,31
"2011-08-25 00:00:00",9.5460936736,23
"2011-08-26 00:00:00",8.1269201631,21
"2011-08-27 00:00:00",8.5964976067,24
"2011-08-28 00:00:00",9.0308663998,26
"2011-08-29 00:00:00",8.9611572706,21
"2011-08-30 00:00:00",8.8099487382,18
"2011-08-31 00:00:00",8.1991517645,23
"2011-09-01 00:00:00",8.2342816651,22
"2011-09-02 00:00:00",8.6214244378,19
"2011-09-03 00:00:00",8.4496534407,20
"2011-09-04 00:00:00",8.2034706023,21
"2011-09-05 00:00:00",7.5973325251,21
"2011-09-06 00:00:00",6.8465300289,22
"2011-09-07 00:00:00",7.1629702735,24
"2011-09-08 00:00:00",6.6781800003,21
"2011-09-09 00:00:00",4.9867770418,24
"2011-09-10 00:00:00",4.7428466552,24
"2011-09-11 00:00:00",5.8529039725,21
"2011-09-12 00:00:00",6.0906294722,20
"2011-09-13 00:00:00",5.802523277,16
"2011-09-14 00:00:00",5.5974326102,18
"2011-09-15 00:00:00",4.8677551847,16
"2011-09-16 00:00:00",4.8311681005,16
"2011-09-17 00:00:00",4.7752856353,17
"2011-09-18 00:00:00",5.2367322782,19
"2011-09-19 00:00:00",5.520376692,18
"2011-09-20 00:00:00",6.1466655517,15
"2011-09-21 00:00:00",5.597067498,15
"2011-09-22 00:00:00",5.4750487767,16
"2011-09-23 00:00:00",5.5634214196,16
"2011-09-24 00:00:00",5.4578896873,18
"2011-09-25 00:00:00",5.3411548814,15
"2011-09-26 00:00:00",4.8738260812,16
